id,price_doc
30474,3269017.25
30475,8886111.0
30476,3269017.25
30477,3269017.25
30478,3269017.25
30479,8886111.0
30480,3269017.25
30481,3269017.25
30482,3269017.25
30483,3269017.25
30484,3269017.25
30485,3269017.25
30486,3269017.25
30487,3269017.25
30488,3269017.25
30489,8886111.0
30490,24154952.0
30491,8886111.0
30492,3269017.25
30493,8886111.0
30494,8886111.0
30495,8886111.0
30496,8886111.0
30497,8886111.0
30498,3269017.25
30499,3269017.25
30500,8886111.0
30501,3269017.25
30502,3269017.25
30503,3269017.25
30504,3269017.25
30505,8886111.0
30506,3269017.25
30507,3269017.25
30508,3269017.25
30509,8886111.0
30510,8886111.0
30511,3269017.25
30512,3269017.25
30513,3269017.25
30514,3269017.25
30515,8886111.0
30516,3269017.25
30517,8886111.0
30518,8886111.0
30519,3269017.25
30520,3269017.25
30521,3269017.25
30522,8886111.0
30523,3269017.25
30524,8886111.0
30525,8886111.0
30526,3269017.25
30527,3269017.25
30528,3269017.25
30529,8886111.0
30530,3269017.25
30531,8886111.0
30532,3269017.25
30533,8886111.0
30534,8886111.0
30535,8886111.0
30536,3269017.25
30537,8886111.0
30538,3269017.25
30539,8886111.0
30540,8886111.0
30541,3269017.25
30542,1202604.25
30543,3269017.25
30544,3269017.25
30545,8886111.0
30546,3269017.25
30547,8886111.0
30548,3269017.25
30549,3269017.25
30550,8886111.0
30551,3269017.25
30552,1202604.25
30553,3269017.25
30554,8886111.0
30555,3269017.25
30556,8886111.0
30557,3269017.25
30558,8886111.0
30559,3269017.25
30560,3269017.25
30561,3269017.25
30562,8886111.0
30563,3269017.25
30564,3269017.25
30565,3269017.25
30566,8886111.0
30567,1202604.25
30568,8886111.0
30569,8886111.0
30570,3269017.25
30571,3269017.25
30572,3269017.25
30573,3269017.25
30574,3269017.25
30575,8886111.0
30576,3269017.25
30577,3269017.25
30578,3269017.25
30579,3269017.25
30580,3269017.25
30581,3269017.25
30582,8886111.0
30583,8886111.0
30584,3269017.25
30585,1202604.25
30586,8886111.0
30587,3269017.25
30588,3269017.25
30589,3269017.25
30590,8886111.0
30591,3269017.25
30592,3269017.25
30593,8886111.0
30594,8886111.0
30595,3269017.25
30596,3269017.25
30597,3269017.25
30598,8886111.0
30599,8886111.0
30600,3269017.25
30601,3269017.25
30602,1202604.25
30603,8886111.0
30604,3269017.25
30605,3269017.25
30606,8886111.0
30607,3269017.25
30608,8886111.0
30609,8886111.0
30610,3269017.25
30611,3269017.25
30612,3269017.25
30613,8886111.0
30614,8886111.0
30615,3269017.25
30616,3269017.25
30617,8886111.0
30618,3269017.25
30619,3269017.25
30620,1202604.25
30621,8886111.0
30622,3269017.25
30623,3269017.25
30624,3269017.25
30625,8886111.0
30626,3269017.25
30627,3269017.25
30628,3269017.25
30629,3269017.25
30630,3269017.25
30631,3269017.25
30632,3269017.25
30633,3269017.25
30634,8886111.0
30635,8886111.0
30636,3269017.25
30637,8886111.0
30638,3269017.25
30639,8886111.0
30640,3269017.25
30641,8886111.0
30642,8886111.0
30643,8886111.0
30644,8886111.0
30645,3269017.25
30646,3269017.25
30647,3269017.25
30648,24154952.0
30649,3269017.25
30650,3269017.25
30651,3269017.25
30652,3269017.25
30653,3269017.25
30654,3269017.25
30655,8886111.0
30656,3269017.25
30657,3269017.25
30658,8886111.0
30659,3269017.25
30660,8886111.0
30661,8886111.0
30662,8886111.0
30663,8886111.0
30664,8886111.0
30665,3269017.25
30666,1202604.25
30667,3269017.25
30668,8886111.0
30669,3269017.25
30670,3269017.25
30671,3269017.25
30672,8886111.0
30673,8886111.0
30674,8886111.0
30675,1202604.25
30676,3269017.25
30677,3269017.25
30678,24154952.0
30679,3269017.25
30680,3269017.25
30681,3269017.25
30682,8886111.0
30683,8886111.0
30684,3269017.25
30685,3269017.25
30686,8886111.0
30687,3269017.25
30688,3269017.25
30689,8886111.0
30690,24154952.0
30691,3269017.25
30692,3269017.25
30693,8886111.0
30694,3269017.25
30695,3269017.25
30696,3269017.25
30697,8886111.0
30698,3269017.25
30699,3269017.25
30700,3269017.25
30701,8886111.0
30702,3269017.25
30703,3269017.25
30704,8886111.0
30705,8886111.0
30706,24154952.0
30707,3269017.25
30708,8886111.0
30709,3269017.25
30710,3269017.25
30711,3269017.25
30712,3269017.25
30713,3269017.25
30714,3269017.25
30715,3269017.25
30716,8886111.0
30717,3269017.25
30718,8886111.0
30719,8886111.0
30720,3269017.25
30721,3269017.25
30722,3269017.25
30723,3269017.25
30724,8886111.0
30725,3269017.25
30726,8886111.0
30727,8886111.0
30728,8886111.0
30729,3269017.25
30730,3269017.25
30731,3269017.25
30732,3269017.25
30733,8886111.0
30734,8886111.0
30735,3269017.25
30736,3269017.25
30737,3269017.25
30738,3269017.25
30739,3269017.25
30740,3269017.25
30741,8886111.0
30742,3269017.25
30743,3269017.25
30744,8886111.0
30745,3269017.25
30746,3269017.25
30747,8886111.0
30748,8886111.0
30749,3269017.25
30750,3269017.25
30751,3269017.25
30752,3269017.25
30753,8886111.0
30754,3269017.25
30755,3269017.25
30756,8886111.0
30757,3269017.25
30758,8886111.0
30759,3269017.25
30760,3269017.25
30761,8886111.0
30762,8886111.0
30763,8886111.0
30764,3269017.25
30765,3269017.25
30766,3269017.25
30767,8886111.0
30768,3269017.25
30769,8886111.0
30770,3269017.25
30771,3269017.25
30772,8886111.0
30773,8886111.0
30774,3269017.25
30775,8886111.0
30776,3269017.25
30777,3269017.25
30778,8886111.0
30779,3269017.25
30780,8886111.0
30781,3269017.25
30782,3269017.25
30783,3269017.25
30784,3269017.25
30785,3269017.25
30786,3269017.25
30787,3269017.25
30788,3269017.25
30789,3269017.25
30790,3269017.25
30791,8886111.0
30792,8886111.0
30793,8886111.0
30794,8886111.0
30795,8886111.0
30796,8886111.0
30797,8886111.0
30798,3269017.25
30799,8886111.0
30800,8886111.0
30801,3269017.25
30802,8886111.0
30803,1202604.25
30804,3269017.25
